"Крошка 1";"Крошка 2";"Крошка 3";"Крошка 4";"Крошка 5";"Крошка 6";Ссылка;Название;Цена;"Ед. изм.";"Изображение 1";"Изображение 2";"Изображение 3";"Изображение 4";"Изображение 5";"Изображение 6";"Изображение 7";"Изображение 8";"Изображение 9";"Изображение 10";"Изображение 11";"Изображение 12";"Изображение 13";"Изображение 14";;Габариты;"код товара";отзывы;производитель;Описание
Бренды;ITALCO;;;;;https://krasimpravilno.ru/brendy/auarita1/italco-kraskopult-lvmp-shine-1-dyuza-1-4-mm.html;"ITALCO Краскопульт LVMP SHINE 1 дюза 1,4 мм";7000.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_00_42_12.неподвижное%20изображение095-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_01_00_08.неподвижное%20изображение083-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_00_52_09.неподвижное%20изображение097-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_01_14_08.неподвижное%20изображение085-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_01_03_24.неподвижное%20изображение084-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_00_48_07.неподвижное%20изображение096-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_00_50_05.неподвижное%20изображение081-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_00_44_04.неподвижное%20изображение079-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SHINE%201/schtaer1000-1000.00_00_54_20.неподвижное%20изображение082-700x700.jpg;;;;;;;-x-x-;2332-17G;;Italco;"Shine 1 серии, с современными эстетическими и инженерными элементами, разработанными специальной итальянской проектной группой.
Технология распыления: LVMP
Оптимальное рабочее давление: 2,5 бар;
Ширина факела: около 28 см;
Оптимальное расстояние до окрашиваемой поверхности: 20 см;
Расход воздуха: 150-180 л/мин;
Емкость бачка: 600 мл
Теги:
ITALCO
,
краскопульт
,
LVMP
,
SHINE 1
"
Бренды;ISISTEM;"Покрасочные и грунтовочные пистолеты ISISTEM ISPRAY";;;;https://krasimpravilno.ru/brendy/isistem-1/pokrasochnye-pistolety-ispray/isistem-kraskoraspylitel-ispray-iw-lp-20-s-razreznoy-dyuzoy.html;"ISISTEM краскораспылитель ISPRAY IW LP 20 с разрезной дюзой и верхним бачком 600мл";16000.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/ISPRAY/schtaer1000-1000.00_01_11_23.неподвижное%20изображение077-700x700.jpg;;;;;;;;;;;;;;;-x-x-;IS-IW-20-LP-**;;ISISTEM;"ISISTEM краскораспылитель ISPRAY IW LP 20 с разрезной дюзой и верхним бачком 600мл
Описание:
- РАЗРЕЗНАЯ ДЮЗА
- Система распыления: LVMP
- Страна-производитель: ТАЙВАНЬ
- К данной модели имеются в продаже сменные сопла (ремкомплекты) и запчасти (ремнаборы).
- Краскораспылитель оснащен пластиковым бачком 600мл.
- Эргономичный корпус удобно располагается в руке, имеет небольшой вес за счет применения в его конструкции легкосплавных материалов.
- На корпусе имеется три вентиля, которые позволяют произвести более тонкую настройку пистолета под ваши задачи.
- В нижней части рукоятки находится вентиль, отвечающий за регулировку давления воздуха поступаемого в краскопульт.
- С тыльной части рукоятки находится два вентиля: нижний отвечает за регулировку подачи материала, а выше него располагается вентиль, отвечающий за регулировку факела.
Технические характеристики:
• Потребление воздуха: 270л/мин
• Вес без бачка: 446г
• Объём бачка: 600мл
• Входное давление: 1.1-1.5 бар
• Входной штуцер: резьба 1/4""
Теги:
ISISTEM
,
краскораспылитель
,
ISPRAY
,
IW LP 20
,
разрезная дюза
"
Оборудование;"Краскопульты / Аэрографы";Краскопульты;;;;https://krasimpravilno.ru/oborudovanie/kraskopulty-aerografy/pokrasochnye-pistolety/italco-kraskopult-h-4000-l-v-m-p.html;"ITALCO Краскопульт H-4000 L.V.M.P";10000.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/151-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/152-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/153-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/154-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/155-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/156-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/157-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/158-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/Р4000/159-700x700.jpg;;;;;;;-x-x-;ITALCO-h-4000-l-v-m-p;;Italco;"Краскопульт для нанесения финишных покрытий, высокоэффективный и экономичный
Удовлетворяет потребности настоящего и будущего
Корпус пистолета, изготовленный путем ковки и прессования, компактен, что позволяет предотвратить пульсирование краски при нанесении, и обеспечить прочность и долговечность покрытия.
Атомизация:
	• Новая концепция сопел для обеспечения еще более высокой точности цветовых оттенков и равномерного растекания лака
	• Широкая и спокойная распыляемая струя для увеличения рабочей скорости
	• Идеально подходит для нанесения базового и прозрачного лака
	• Еще более высокое качество поверхности с безукоризненным состоянием лака
	• Тончайшее распыление материала
	• Превосходная надежность результатов
Хромовый оттенок:
	• Блестящий внешний вид для блестящих результатов 
	• Полностью хромированный краскопульт
	• Хром износостойкий и ценный материал
	• Хром устойчив к коррозии - даже в случае лаков на водной основе
	• Хром по ценности не уступает золоту - как внешне, так и технически
	• Поверхность благородного вида всегда позволит Вам создать блестящий образ
Хромированный курок:
	• Эргономически идеальное продолжение Вашей руки 
	• Современный дизайн круглой формы
	• Идеальная эргономичность для работы без усталости: в частности, оптимизирован центр тяжести, небольшое спусковое усилие, любая рукоятка идеально подогнана: удобство в использовании
	• Каждый шаг доказательства: Легкий
	• OOS, индивидуальное обозначение, персонализация
 Опции для будущего
	• Премиум-технология высшего класса ""Сделано в США""
	• Легкая очистка и уход
	• Хромированный корпус краскопульта
	• Сменное кольцо воздухораспределителя
	• Саморегулирующиеся уплотнения
	• Бесшумная распыляемая струя
	• Надежность благодаря контролю качества, шаг за шагом
	• У подделок нет шансов: клеймо подлинности 

Теги:
Купить ITALCO Краскопульт H-4000 L.V.M.P
"
Бренды;Walcom;"Краскопульты Walcom";;;;https://krasimpravilno.ru/brendy/walmec/pokrasochnye-pistolety-walmec/kraskopult-walcom-genesi-carbonio-360-hte-clear-9620.html;"WALCOM краскопульт GENESI CARBONIO 360 HTE CLEAR 9620";43000.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walmec/2pj8amipudc0004ks88840cwk884oc-700x700.jpeg;;;;;;;;;;;;;;;-x-x-;9630;;Walcom;"Genesi Carbonio 360 - сверхлёгкий краскопульт, сохранивший высочайший уровень качества покраски краскораспылителей
линейки Genesi. С ним процесс покраски будет ещё легче и комфортнее!
Технические характеристики:
Воздушная распыляющая головка: никелированная латунь
Гайка воздушной распыляющей головки: углеволокно
Курок: углеволокно
Игла-сопло-пружины: сталь AISI 303
Корпус: прессованный анодированый алюминий и углеволокно
Рукоятка: углеволокно
Уплотнительные прокладки: PTFE (тефлон), самоуплотняющиеся, устойчивые к воздействию растворителей
Рабочее давление: 2,0 бар
TOP регулятор давления воздуха на входе краскопульта с ECS соединением и цифровым индикатором
Расход воздуха: 300 л/мин
Вес: 360 г
В комплекте с краскопультом:
- запасные части: набор прокладок, пружинок, стопорных колец, шток воздушного клапана
- принадлежности: ключ универсальный, ёршик для чистки краскопульта, 3 фильтра для очистки ЛКМ, масло 15 мл для
смазки трущихся частей и механизмов краскораспылителя, не соприкасающихся при работе с ЛКМ
- верхний бачок
Тип упаковки:
Пластиковый чемоданчик
Теги:
WALCOM
,
краскопульт
,
GENESI CARBONIO 360 HTE CLEAR 9620
"
Бренды;Walcom;"Краскопульты Walcom";;;;https://krasimpravilno.ru/brendy/walmec/pokrasochnye-pistolety-walmec/kraskopult-walcom-genesi-carbonio-360-hte-clear-9630.html;"WALCOM краскопульт GENESI CARBONIO 360 HTE CLEAR 9630";57600.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walmec/%20WALCOM%20GENESI%20CARBONIO%20360%20HTE%20CLEAR%209630-700x700.jpg;;;;;;;;;;;;;;;-x-x-;9630;;Walcom;"Технические характеристики:
Воздушная распыляющая головка: никелированная латунь
Гайка воздушной распыляющей головки: углеволокно
Курок: углеволокно
Игла-сопло-пружины: сталь AISI 303
Корпус: прессованный анодированый алюминий и углеволокно
Рукоятка: углеволокно
Уплотнительные прокладки: PTFE (тефлон), самоуплотняющиеся, устойчивые к воздействию растворителей
Рабочее давление: 2,0 бар
TOP регулятор давления воздуха на входе краскопульта с ECS соединением и цифровым индикатором
Расход воздуха: 300 л/мин
Вес: 360 г
В комплекте с краскопультом:
- запасные части: набор прокладок, пружинок, стопорных колец, шток воздушного клапана
- принадлежности: ключ универсальный, ёршик для чистки краскопульта, 3 фильтра для очистки ЛКМ, масло 15 мл для смазки трущихся частей и механизмов краскораспылителя, не соприкасающихся при работе с ЛКМ
- цифровой манометр
- верхний бачок
Теги:
КРАСКОПУЛЬТ WALCOM GENESI CARBONIO 360 HTE CLEAR 9630**
"
Бренды;ITALCO;;;;;https://krasimpravilno.ru/brendy/auarita1/auarita-kraskopult-ab-17g-kraskopult-s-verhnim-bachkom.html;"AUARITA краскопульт AB-17G";2200.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/20-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/19-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/21-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/22-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/23-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/24-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/68-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/AB17/76-700x700.jpg;;;;;;;;-x-x-;AB-17G;;Italco;"Воздушный краскопульт
для домашнего применения и для небольших мебельных и металлопроизводств
 
Характеристики
 
Артикул Auarita AB-17G
Производство Китай
Максимальное рабочее давление на выходе из аппарата 2-4 атм
Размер сопел 1,4 мм, 1,7 мм, 2,0 мм
Компрессор 300-350 л/мин
Емкость для краски
0
,6л
 
Воздушный краскораспылитель с верхним бачком,
работающий от сжатого воздуха от компрессора. 

Краскораспылитель с верхним бачком предназначен
для бытового, гаражного, дачного и домашнего применения, а также небольшого
производства при окраске деревянных и металлических изделий. 

С помощью данного воздушного краскораспылитель
можно окрашивать как металлические, так и деревянные изделия различных
габаритов. Ориентировочный рекомендуемый объем покраски данным
краскораспылителем в сутки не более 20-30 литров краски. 

Воздушный краскораспылитель комплектуется
верхним бачком большого объема 600 мл, что позволяет окрашивать достаточно
большие изделия без  дополнительного залива бачка краской. 

Краскораспылитель работает от воздушного
компрессора средней производительности, для стабильной работы краскопульта
необходимо порядка 300-350 л/мин воздуха под давлением 3-4 бара. Воздух из
компрессора желательно фильтровать через фильтр влагомаслоотделитель. 
Небольшое потребление воздуха от компрессора позволяет использовать
краскораспылитель практически от любого гаражного компрессора. 

Воздушный краскораспылитель работает по принципу
конвенционального, традиционного распыления, что означает, что воздух входит
внутрь под давлением 3-4 бар и выходит краска под таким же давлением. Это
позволяет распылять краску в мелкую каплю и получать высокое качество
окрашиваемой поверхности. 

На воздушном краскораспылителе присутствуют
дополнительные настройки факела и воздуха, что позволяет подстроить факел под
вашу краску. 

Краска в краскораспылитель поступает самотеком,
воздух проходя через воздушный краскопульт создает разряжение и тем самым
высасывает краску из верхнего бачка, вылетая из сопла краска дробится воздухом
из воздушной головы. 

Сопла на краскораспылителе сменные, что
позволяет использовать краски с различной вязкостью. Краскораспылитель может
быть укомплектован соплом 1,4 мм для покраски авто в гараже, нанесения лака или
базы на автомобиль. Также краскораспылитель может быть укомплектован соплом 1,7
мм и 2,0 мм для покраски и лакирования деревянных изделий, а также покраски
металлических изделий.  

Воздушный краскораспылитель обладает небольшим
весом и малыми габаритными размеры, что позволяет маляру меньше уставать при
работе с краскораспылителем. 

Игла и сопло краскораспылителя выполнены из
нержавеющей стали, что позволяет использовать краскопульт с водными красками и
с материалами на растворителях. 

Краска, вылетая из краскораспылителя, образует
факел шириной порядка 20 см, это позволяет окрашивать изделия различных
габаритов с достаточно большой скоростью. 

Воздушный краскораспылитель выпускается на
фабрике Auarita одном из лидеров в производстве бюджетных краскопульт
приемлемого качества в Китае.

Теги:
Купить Auarita AB-17G краскопульт с верхним бачком
"
Бренды;"JETA PRO";"Краскопульты JETA PRO";;;;https://krasimpravilno.ru/brendy/jeta-pro-1/kraskopulty-jeta-pro/jeta-pro-kraskopult-jp5000-hvlp.html;"JETA PRO Краскопульт JP5000 HVLP";8165.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/JETA%20PRO/782b93b92bfe4e7a219e902e6b809767-700x700.jpg;;;;;;;;;;;;;;;-x-x-;2295-h-5000-b-hvlp;;Italco;"Серия JP5000. Краскопульты JP5000 LVMP и JP5000 HVLP - это высококачественные инструменты для окрашивания, работающие по технологии LVMP (low volume, medium pressure - низкий объем, среднее давление) и HVLP (high volume, low pressure - высокий объем, низкое давление).
Описание
Область применения:
JP5000 LVMP - профессиональный краскопульт для грунтов, красок и лаков
Верхний пластиковый бачок объемом 0,6 л
Сопло 1,4 мм
Вход воздуха М 1/4""
Вес без бачка - 525 г
Анодированный корпус из алюминия, устойчив к химическому воздействию.
Материальное сопло (дюза) из нержавеющей стали.
Материальная игла из нержавеющей стали.
Воздушная распыляющая головка из латуни.
Воздушный клапан и уплотнительные прокладки из тефлона (самоуплотняющиеся) устойчивы к воздействию воды и растворителей.
Рабочие характеристики
Рабочее давление: 1,7 -2,5 бар
Расход воздуха 2,0 бар: 330-350 л\мин
Перенос материала: более 65%
Рекомендуемое расстояние до окрашиваемой поверхности: 15-20см.
Поставляются в комплекте с аксессуарами, необходимыми для работы и обслуживания.
В комплект входят:
	• Нейлоновый фильтр для краски плотностью 2000.
	• Комплект самоуплотняющихся прокладок.
	• Универсальный ключ для сборки и разборки краскопульта.
	• Ершик для чистки.
	• Приспособление для снятия пластикового распределительного кольца
	• Шестигранные ключи для сборки\разборки.
Теги:
Купить ITALCO Краскопульт H-5000 B HVLP
"
Бренды;ITALCO;;;;;https://krasimpravilno.ru/brendy/auarita1/auarita-kraskopult-hvlp-h-827.html;"AUARITA краскопульт HVLP H-827";2100.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/HVLP%20H-827/лицо-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/HVLP%20H-827/3i65d5zx_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/HVLP%20H-827/53391625_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/HVLP%20H-827/53391626_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/HVLP%20H-827/53391627_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/HVLP%20H-827/53391628_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/HVLP%20H-827/x1w8n5px_обработано-700x700.jpg;;;;;;;;;-x-x-;H-827;;Italco;"AUARITA H 827 краскораспылитель системы HVLP.


Краскораспылитель может комплектоваться соплами 1.4, 1.7 и 2.0 мм.
подходит для использования в быту, в гараже, дачной мастерской и т.д. Идеален для окраски деревянных и металлических изделий.
Верхний бачок имеет объем 600 мл, благодаря чему можно 
реже прерываться на дозаправку
.
Возможность регулировки факела и расхода воздуха 
позволяет подстроить инструмент под используемую краску
.
Пистолет отличается небольшими габаритами и весом, что 
обеспечивает неутомительную работу
.
Может использоваться как для окрасочных работ, так и для нанесения грунтов-порозаполнителей.

Краскораспыляющая головка изготовлена из латуни (не из алюминия), что обеспечивает ее высокую износостойкость. Краскораспылители могут применяться для нанесения красок на водной основе. Сопло и игла сделаны из нержавеющей стали, корпус адонирован.

Пластиковый верхний бачок 0,6л,

Потребление воздуха: 260 - 300 л/мин

Давление воздуха вх/вых -3/0,7 бар


3 регулировочных винта


Теги:
Купить AUARITA КРАСКОПУЛЬТ HVLP H-827
"
Оборудование;"Краскопульты / Аэрографы";Краскопульты;;;;https://krasimpravilno.ru/oborudovanie/kraskopulty-aerografy/pokrasochnye-pistolety/auarita-kraskopult-lvlp-l-898-2-teflon-grey-v-b-600-ml.html;"Auarita Краскопульт LVLP L-898-2 TEFLON GREY  в/б 600 мл";6300.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/LVLP%20L-898-2%20TEFLON%20GREY/лицо-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/LVLP%20L-898-2%20TEFLON%20GREY/earsn4hj_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/LVLP%20L-898-2%20TEFLON%20GREY/bts03fk3_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/AUARITA/SVETA/LVLP%20L-898-2%20TEFLON%20GREY/f1ff8e1q_обработано-700x700.jpg;;;;;;;;;;;;-x-x-;2596-;;Italco;"Описание
Профессиональный окрасочный пистолет AUARITA L-898 серии L.V.L.P (Low Volume Middle Pressure) – маленький объём среднее давление. Краскопульт характеризуется отличной производительностью и высокой эффективностью переноса материала свыше 65%.


Технические характеристики:


- Пластиковый бачок: 0.6 л;


- Рекомендуемое рабочее давление: 1,5 бар;


- Дюза L.V.L.P с диаметром: 1.3, 1.4 и 1.8 мм;


- Расход воздуха: 250 – 260 лит/мин.
Применение краскопульта
: 
нанесение лаков
, 
для грунтовки
, 
для густых красок
, 
покраска автомобилей
, 
покраска мебели
, 
промышленная окраска
Особенности краскопультов
: 
Регулировка подачи воздуха
, 
Регулировка давления воздуха
, 
Регулировка формы струи
, 
Регулировка подачи материала
, 
Регулировка ширины распыления
Теги:
купить Auarita Краскопульт LVLP L-898-2 TEFLON GREY  в/б 600 мл
"
Бренды;Walcom;"Краскопульты Walcom";;;;https://krasimpravilno.ru/brendy/walmec/pokrasochnye-pistolety-walmec/walcom-kraskopult-slim-kombat-hvlp-8130.html;"WALCOM краскопульт SLIM KOMBAT HVLP 8130";28000.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walcom/SVETA/SLIM%20KOMBAT%20HVLP%208130/лицо%208130-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walcom/SVETA/SLIM%20KOMBAT%20HVLP%208130/9dw1vfy9_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walcom/SVETA/SLIM%20KOMBAT%20HVLP%208130/53lny3uz_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walcom/SVETA/SLIM%20KOMBAT%20HVLP%208130/jla4v1np_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walcom/SVETA/SLIM%20KOMBAT%20HVLP%208130/vd0n39lc_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walcom/SVETA/SLIM%20KOMBAT%20HVLP%208130/wwn2do8l_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Walcom/SVETA/SLIM%20KOMBAT%20HVLP%208130/xrs2cvd1_обработано-700x700.jpg;;;;;;;;;-x-x-;8130;;Walcom;"Рабочее давление: 2-2,5 бар
Расход воздуха: 265-290 л/мин
Корпус: литой магниевый сплав с кевларовым покрытием
Распыляющая головка: химически никелированная латунь
Ø сопла: 1,3 - 1.4 - 1,5 - 1,7 - 1,9 - 2,2 - 2,5 мм
В комплекте: чемоданчик, регулятор давления воздуха с манометром, ЗИП
C верхним пластиковым бачком 0,68 л
Вес: 380 г
Идеальный краскопульт для нанесения грунтов и финишных покрытий, как в кузовных цехах, так и в промышленной окраске.
Классический SLIM уже является символом качества, надёжности, универсальности и успешно применяется по всему миру в кузовных цехах, в промышленности, а также в деревообработке.
Сегодня SLIM воплощённый в новой модели SLIM KOMBAT представляет собой новую уникальную и революционную версию краскораспылителя, созданную вершить новую историю компании WALMEC.
SLIM KOMBAT ломает производственные стереотипы, отказавшись от применения алюминия при производстве корпуса, и представляет инновационный корпус, выполненный из сплава магния и покрытый слоем защитного КЕВЛАРА.
Лёгкость сплава магния, совмещённая с прочностью и надёжностью кевлара обеспечивает увеличенный срок службы краскораспылителю, что при весе всего лишь 380 грамм является совершенным результатом.
Благодаря новому более производительному корпусу обеспечивается лучший поток воздуха, что позволяется добиться лучшей разбивки материала.
Харкактеристики кевлара делают корпус этого пистолета стойким к агрессивным растворителям и любым типам краски. А форма краскопульта настолько удобна, что не вызывает никаких затруднений при очистке инструмента.
Модель SLIM KOMBAT добавлена к классической линейке ккаскопультво SLIM и доступна в двух версиях HVLP и HTE, с такими же потреблением воздуха и высоким коэффициэнтом переноса (более 80% для грунтов, и 70% для базы и лака), что важно для получения покрытия высокого качества.
Теги:
WALCOM
,
краскопульт
,
SLIM KOMBAT HVLP
,
8130
"
